fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight43,1,"[0, 1]","[[2, 8], [8, 15]]","[25.0, 53.0]","[[2, 8], [8, 15]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 3]","[[0, 5], [8, 15]]","[[0, 1], [0, 0]]","[[2, 2], [0, 0]]","[[2, 8], [4, 10]]","[[0, 0], [2, 2]]","[[0, 0], [2, 3]]",,KO/TKO
fight44,1,"[1, 0]","[[33, 60], [15, 26]]","[55.0, 57.0]","[[33, 60], [15, 26]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[12, 2]","[[26, 48], [5, 14]]","[[2, 4], [3, 4]]","[[5, 8], [7, 8]]","[[18, 41], [14, 24]]","[[0, 0], [1, 2]]","[[15, 19], [0, 0]]",,KO/TKO
fight45,1,"[0, 0]","[[2, 2], [1, 1]]","[100.0, 100.0]","[[8, 9], [9, 13]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 0]","[1, 0]","[40, 53]","[[1, 1], [1, 1]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]","[[1, 1], [1, 1]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,KO/TKO
fight46,1,"[0, 1]","[[5, 9], [6, 11]]","[55.0, 54.0]","[[7, 12], [10, 15]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 1]","[25, 19]","[[2, 6], [3, 7]]","[[3, 3], [1, 2]]","[[0, 0], [2, 2]]","[[4, 8], [4, 9]]","[[1, 1], [0, 0]]","[[0, 0], [2, 2]]",,KO/TKO
fight47,1,"[1, 0]","[[36, 66], [35, 57]]","[54.0, 61.0]","[[54, 87], [46, 69]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[19, 64]","[[27, 57], [23, 44]]","[[5, 5], [12, 13]]","[[4, 4], [0, 0]]","[[22, 51], [16, 37]]","[[10, 11], [19, 20]]","[[4, 4], [0, 0]]",,KO/TKO
fight48,1,"[1, 0]","[[24, 29], [4, 6]]","[82.0, 66.0]","[[39, 46], [11, 18]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[19, 49]","[[13, 16], [0, 1]]","[[9, 11], [1, 1]]","[[2, 2], [3, 4]]","[[7, 11], [3, 5]]","[[8, 9], [1, 1]]","[[9, 9], [0, 0]]",,KO/TKO
fight50,1,"[1, 0]","[[14, 21], [1, 1]]","[66.0, 100.0]","[[14, 21], [1, 1]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[15, 0]","[[14, 21], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]","[[0, 1], [1, 1]]","[[1, 1], [0, 0]]","[[13, 19], [0, 0]]",,KO/TKO
fight51,1,"[0, 1]","[[0, 6], [7, 11]]","[0.0, 63.0]","[[0, 6], [7, 11]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 5]","[[0, 6], [7, 10]]","[[0, 0], [0, 0]]","[[0, 0], [0, 1]]","[[0, 6], [1, 4]]","[[0, 0], [0, 0]]","[[0, 0], [6, 7]]",,KO/TKO
fight52,1,"[1, 0]","[[30, 53], [5, 22]]","[56.0, 22.0]","[[30, 53], [5, 22]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[31, 0]","[[19, 40], [2, 15]]","[[7, 9], [3, 7]]","[[4, 4], [0, 0]]","[[20, 38], [5, 22]]","[[2, 3], [0, 0]]","[[8, 12], [0, 0]]",,KO/TKO
fight54,1,"[0, 1]","[[14, 38], [43, 72]]","[36.0, 59.0]","[[15, 39], [43, 72]]","[[0, 2], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[1, 2]","[[8, 30], [27, 53]]","[[2, 4], [10, 13]]","[[4, 4], [6, 6]]","[[12, 32], [35, 60]]","[[2, 6], [7, 10]]","[[0, 0], [1, 2]]",,KO/TKO
